Gene	Gene description	Concentration
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	18 ng/L
AK4	Adenylate kinase 4	18 ng/L
PRRT3	Proline rich transmembrane protein 3	18 ng/L
IRGQ	Immunity related GTPase Q	18 ng/L
PAIP1	Poly(A) binding protein interacting protein 1	18 ng/L
EIF3F	Eukaryotic translation initiation factor 3 subunit F	18 ng/L
FLRT2	Fibronectin leucine rich transmembrane protein 2	18 ng/L
NDUFA4	"NDUFA4, mitochondrial complex associated"	18 ng/L
ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6 (putative)	18 ng/L
PI4KA	Phosphatidylinositol 4-kinase alpha	18 ng/L
AASS	Aminoadipate-semialdehyde synthase	17 ng/L
SLK	STE20 like kinase	17 ng/L
HMOX1	Heme oxygenase 1	17 ng/L
GNPNAT1	Glucosamine-phosphate N-acetyltransferase 1	17 ng/L
SLC25A11	Solute carrier family 25 member 11	17 ng/L
EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	17 ng/L
LAMTOR2	"Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"	17 ng/L
ATP1B2	ATPase Na+/K+ transporting subunit beta 2	17 ng/L
SARAF	Store-operated calcium entry associated regulatory factor	17 ng/L
ARL3	ADP ribosylation factor like GTPase 3	17 ng/L
TOR1AIP1	Torsin 1A interacting protein 1	17 ng/L
GMPPA	GDP-mannose pyrophosphorylase A	17 ng/L
JAM2	Junctional adhesion molecule 2	17 ng/L
PLXNB3	Plexin B3	17 ng/L
PDXP	Pyridoxal phosphatase	17 ng/L
CORO7	Coronin 7	17 ng/L
GALC	Galactosylceramidase	16 ng/L
EIF3I	Eukaryotic translation initiation factor 3 subunit I	16 ng/L
CD40	CD40 molecule	16 ng/L
TYRP1	Tyrosinase related protein 1	16 ng/L
SMU1	"SMU1, DNA replication regulator and spliceosomal factor"	16 ng/L
MCEE	Methylmalonyl-CoA epimerase	16 ng/L
RTN2	Reticulon 2	16 ng/L
L3HYPDH	Trans-L-3-hydroxyproline dehydratase	16 ng/L
PPCS	Phosphopantothenoylcysteine synthetase	16 ng/L
LRRC47	Leucine rich repeat containing 47	16 ng/L
LRPPRC	Leucine rich pentatricopeptide repeat containing	16 ng/L
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	16 ng/L
VPS28	"VPS28, ESCRT-I subunit"	16 ng/L
AGL	"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	16 ng/L
PPME1	Protein phosphatase methylesterase 1	16 ng/L
NPEPL1	Aminopeptidase like 1	16 ng/L
CD302	CD302 molecule	16 ng/L
HYAL1	Hyaluronoglucosaminidase 1	15 ng/L
LOXL3	Lysyl oxidase like 3	15 ng/L
GALNT12	Polypeptide N-acetylgalactosaminyltransferase 12	15 ng/L
ACADS	Acyl-CoA dehydrogenase short chain	15 ng/L
TNFAIP6	TNF alpha induced protein 6	15 ng/L
TRIP10	Thyroid hormone receptor interactor 10	15 ng/L
PDHA1	Pyruvate dehydrogenase E1 alpha 1 subunit	15 ng/L
SNAPIN	SNAP associated protein	15 ng/L
INPP1	Inositol polyphosphate-1-phosphatase	15 ng/L
SEC13	"SEC13 homolog, nuclear pore and COPII coat complex component"	15 ng/L
SPRR3	Small proline rich protein 3	15 ng/L
CLDN3	Claudin 3	15 ng/L
NNMT	Nicotinamide N-methyltransferase	15 ng/L
UROS	Uroporphyrinogen III synthase	15 ng/L
STRN3	Striatin 3	15 ng/L
LAMB3	Laminin subunit beta 3	15 ng/L
RPL23A	Ribosomal protein L23a	15 ng/L
CTNND1	Catenin delta 1	15 ng/L
HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	15 ng/L
CTPS2	CTP synthase 2	14 ng/L
TSG101	Tumor susceptibility 101	14 ng/L
SUCO	SUN domain containing ossification factor	14 ng/L
TOM1	Target of myb1 membrane trafficking protein	14 ng/L
MAGT1	Magnesium transporter 1	14 ng/L
CDH23	Cadherin related 23	14 ng/L
MFSD1	Major facilitator superfamily domain containing 1	14 ng/L
NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	14 ng/L
VAMP7	Vesicle associated membrane protein 7	14 ng/L
DAD1	Defender against cell death 1	14 ng/L
PUDP	Pseudouridine 5'-phosphatase	14 ng/L
LARS	Leucyl-tRNA synthetase	14 ng/L
MYOF	Myoferlin	14 ng/L
FN3KRP	Fructosamine 3 kinase related protein	14 ng/L
DDX21	DExD-box helicase 21	14 ng/L
IL16	Interleukin 16	14 ng/L
HSD17B11	Hydroxysteroid 17-beta dehydrogenase 11	14 ng/L
TAP2	"Transporter 2, ATP binding cassette subfamily B member"	14 ng/L
CSDE1	Cold shock domain containing E1	13 ng/L
ITGAE	Integrin subunit alpha E	13 ng/L
ZMPSTE24	Zinc metallopeptidase STE24	13 ng/L
CRAT	Carnitine O-acetyltransferase	13 ng/L
ETHE1	"ETHE1, persulfide dioxygenase"	13 ng/L
SLAIN2	SLAIN motif family member 2	13 ng/L
LANCL1	LanC like 1	13 ng/L
P3H1	Prolyl 3-hydroxylase 1	13 ng/L
TARDBP	TAR DNA binding protein	13 ng/L
DCTD	DCMP deaminase	13 ng/L
REEP5	Receptor accessory protein 5	13 ng/L
BPHL	Biphenyl hydrolase like	13 ng/L
ADAM15	ADAM metallopeptidase domain 15	13 ng/L
PURB	Purine rich element binding protein B	13 ng/L
TAOK1	TAO kinase 1	13 ng/L
RRM1	Ribonucleotide reductase catalytic subunit M1	13 ng/L
SLC25A20	Solute carrier family 25 member 20	13 ng/L
GIPC3	GIPC PDZ domain containing family member 3	13 ng/L
CNTN2	Contactin 2	13 ng/L
ATG7	Autophagy related 7	13 ng/L
OPA1	"OPA1, mitochondrial dynamin like GTPase"	13 ng/L
SLFN14	Schlafen family member 14	13 ng/L
RBM14	RNA binding motif protein 14	13 ng/L
SPESP1	Sperm equatorial segment protein 1	13 ng/L
CUL3	Cullin 3	12 ng/L
CST7	Cystatin F	12 ng/L
TRIP6	Thyroid hormone receptor interactor 6	12 ng/L
PLAT	"Plasminogen activator, tissue type"	12 ng/L
CRYAB	Crystallin alpha B	12 ng/L
B4GALT2	"Beta-1,4-galactosyltransferase 2"	12 ng/L
NCLN	Nicalin	12 ng/L
RALY	RALY heterogeneous nuclear ribonucleoprotein	12 ng/L
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	12 ng/L
EIF3G	Eukaryotic translation initiation factor 3 subunit G	12 ng/L
NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	12 ng/L
SRRM1	Serine and arginine repetitive matrix 1	12 ng/L
PADI4	Peptidyl arginine deiminase 4	12 ng/L
UBXN1	UBX domain protein 1	12 ng/L
SLMAP	Sarcolemma associated protein	12 ng/L
COL24A1	Collagen type XXIV alpha 1 chain	12 ng/L
CDC42BPB	CDC42 binding protein kinase beta	12 ng/L
CALCOCO1	Calcium binding and coiled-coil domain 1	11 ng/L
TTC27	Tetratricopeptide repeat domain 27	11 ng/L
KPNA6	Karyopherin subunit alpha 6	11 ng/L
OGFR	Opioid growth factor receptor	11 ng/L
GNB5	G protein subunit beta 5	11 ng/L
CYTH2	Cytohesin 2	11 ng/L
STRN	Striatin	11 ng/L
STAMBP	STAM binding protein	11 ng/L
DCLK1	Doublecortin like kinase 1	11 ng/L
CKAP4	Cytoskeleton associated protein 4	11 ng/L
NECTIN4	Nectin cell adhesion molecule 4	11 ng/L
ACMSD	Aminocarboxymuconate semialdehyde decarboxylase	11 ng/L
CXADR	"CXADR, Ig-like cell adhesion molecule"	11 ng/L
EIF5B	Eukaryotic translation initiation factor 5B	11 ng/L
METAP1	Methionyl aminopeptidase 1	11 ng/L
STXBP5	Syntaxin binding protein 5	11 ng/L
TTC7B	Tetratricopeptide repeat domain 7B	11 ng/L
AMOTL1	Angiomotin like 1	11 ng/L
PLIN4	Perilipin 4	11 ng/L
MUC20	"Mucin 20, cell surface associated"	11 ng/L
FARSA	Phenylalanyl-tRNA synthetase alpha subunit	11 ng/L
SMTN	Smoothelin	11 ng/L
PTPN1	"Protein tyrosine phosphatase, non-receptor type 1"	11 ng/L
ELFN1	Extracellular leucine rich repeat and fibronectin type III domain containing 1	11 ng/L
DHRS11	Dehydrogenase/reductase 11	11 ng/L
AP3D1	Adaptor related protein complex 3 delta 1 subunit	10 ng/L
COASY	Coenzyme A synthase	10 ng/L
GYS1	Glycogen synthase 1	10 ng/L
C1GALT1	"Core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	10 ng/L
PFDN1	Prefoldin subunit 1	10 ng/L
UXS1	UDP-glucuronate decarboxylase 1	10 ng/L
CTDSPL	CTD small phosphatase like	10 ng/L
PKDCC	"Protein kinase domain containing, cytoplasmic"	10 ng/L
NOLC1	Nucleolar and coiled-body phosphoprotein 1	10 ng/L
MTSS1	"MTSS1, I-BAR domain containing"	10 ng/L
GMPPB	GDP-mannose pyrophosphorylase B	10 ng/L
LILRB4	Leukocyte immunoglobulin like receptor B4	9.9 ng/L
STON2	Stonin 2	9.8 ng/L
HS6ST3	Heparan sulfate 6-O-sulfotransferase 3	9.8 ng/L
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	9.6 ng/L
UBA3	Ubiquitin like modifier activating enzyme 3	9.6 ng/L
RUFY1	RUN and FYVE domain containing 1	9.6 ng/L
B4GALNT1	"Beta-1,4-N-acetyl-galactosaminyltransferase 1"	9.5 ng/L
SLITRK6	SLIT and NTRK like family member 6	9.5 ng/L
ATL1	Atlastin GTPase 1	9.5 ng/L
PSMD14	"Proteasome 26S subunit, non-ATPase 14"	9.4 ng/L
RFTN1	"Raftlin, lipid raft linker 1"	9.4 ng/L
GALNT14	Polypeptide N-acetylgalactosaminyltransferase 14	9.4 ng/L
AGPS	Alkylglycerone phosphate synthase	9.3 ng/L
ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	9.3 ng/L
SCRN3	Secernin 3	9.3 ng/L
STT3B	"STT3B, catalytic subunit of the oligosaccharyltransferase complex"	9.3 ng/L
ACPP	"Acid phosphatase, prostate"	9.2 ng/L
ADGRB3	Adhesion G protein-coupled receptor B3	9.2 ng/L
ALDH6A1	Aldehyde dehydrogenase 6 family member A1	9.1 ng/L
TNIK	TRAF2 and NCK interacting kinase	9.1 ng/L
CLSTN2	Calsyntenin 2	9.1 ng/L
ADGRE1	Adhesion G protein-coupled receptor E1	9.1 ng/L
PLEKHF2	Pleckstrin homology and FYVE domain containing 2	9.1 ng/L
NEU2	Neuraminidase 2	9.0 ng/L
MAN2C1	Mannosidase alpha class 2C member 1	9.0 ng/L
NUDT9	Nudix hydrolase 9	9.0 ng/L
SLC25A24	Solute carrier family 25 member 24	8.9 ng/L
EPS15L1	Epidermal growth factor receptor pathway substrate 15 like 1	8.9 ng/L
PLIN1	Perilipin 1	8.9 ng/L
MYO1F	Myosin IF	8.8 ng/L
GINM1	Glycoprotein integral membrane 1	8.7 ng/L
RTCA	RNA 3'-terminal phosphate cyclase	8.7 ng/L
MCM2	Minichromosome maintenance complex component 2	8.6 ng/L
EIF3J	Eukaryotic translation initiation factor 3 subunit J	8.6 ng/L
GALK1	Galactokinase 1	8.6 ng/L
PSMD6	"Proteasome 26S subunit, non-ATPase 6"	8.6 ng/L
EIF2B1	Eukaryotic translation initiation factor 2B subunit alpha	8.5 ng/L
ZC3H4	Zinc finger CCCH-type containing 4	8.5 ng/L
KIAA0513	KIAA0513	8.4 ng/L
LINGO1	Leucine rich repeat and Ig domain containing 1	8.4 ng/L
PPA2	Pyrophosphatase (inorganic) 2	8.3 ng/L
SSRP1	Structure specific recognition protein 1	8.3 ng/L
AIMP2	Aminoacyl tRNA synthetase complex interacting multifunctional protein 2	8.2 ng/L
FAM3D	Family with sequence similarity 3 member D	8.2 ng/L
ACP2	"Acid phosphatase 2, lysosomal"	8.1 ng/L
IGBP1	Immunoglobulin binding protein 1	8.0 ng/L
IGSF21	Immunoglobin superfamily member 21	7.9 ng/L
RASA1	RAS p21 protein activator 1	7.9 ng/L
API5	Apoptosis inhibitor 5	7.9 ng/L
C1orf116	Chromosome 1 open reading frame 116	7.9 ng/L
CLIP1	CAP-Gly domain containing linker protein 1	7.7 ng/L
ARHGEF7	Rho guanine nucleotide exchange factor 7	7.6 ng/L
NXPE3	Neurexophilin and PC-esterase domain family member 3	7.6 ng/L
GRK6	G protein-coupled receptor kinase 6	7.5 ng/L
FRMD4B	FERM domain containing 4B	7.4 ng/L
KDELC1	KDEL motif containing 1	7.4 ng/L
AGXT2	Alanine--glyoxylate aminotransferase 2	7.3 ng/L
NCR3LG1	Natural killer cell cytotoxicity receptor 3 ligand 1	7.3 ng/L
SWAP70	Switching B cell complex subunit SWAP70	7.1 ng/L
GSDMA	Gasdermin A	7.1 ng/L
PCYT2	"Phosphate cytidylyltransferase 2, ethanolamine"	7.0 ng/L
UFL1	UFM1 specific ligase 1	6.9 ng/L
NSF	"N-ethylmaleimide sensitive factor, vesicle fusing ATPase"	6.9 ng/L
SORBS3	Sorbin and SH3 domain containing 3	6.6 ng/L
SUCLA2	Succinate-CoA ligase ADP-forming beta subunit	6.6 ng/L
SNRNP200	Small nuclear ribonucleoprotein U5 subunit 200	6.6 ng/L
VPS16	"VPS16, CORVET/HOPS core subunit"	6.6 ng/L
TRPM4	Transient receptor potential cation channel subfamily M member 4	6.5 ng/L
PMPCA	"Peptidase, mitochondrial processing alpha subunit"	6.5 ng/L
CIAPIN1	Cytokine induced apoptosis inhibitor 1	6.4 ng/L
STXBP1	Syntaxin binding protein 1	6.4 ng/L
CALB2	Calbindin 2	6.4 ng/L
FUBP3	Far upstream element binding protein 3	6.2 ng/L
GUCY1A1	Guanylate cyclase 1 soluble subunit alpha 1	6.1 ng/L
EMC1	ER membrane protein complex subunit 1	5.6 ng/L
ANKFY1	Ankyrin repeat and FYVE domain containing 1	5.6 ng/L
FKBP10	FK506 binding protein 10	5.5 ng/L
CTNNA1	Catenin alpha 1	5.4 ng/L
ZNF185	Zinc finger protein 185 with LIM domain	5.4 ng/L
PLCB1	Phospholipase C beta 1	5.4 ng/L
EXOC2	Exocyst complex component 2	5.3 ng/L
PLAA	Phospholipase A2 activating protein	5.3 ng/L
CCAR2	Cell cycle and apoptosis regulator 2	5.3 ng/L
GUCY1B1	Guanylate cyclase 1 soluble subunit beta 1	5.2 ng/L
HUWE1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"	3.4 ng/L
